Severity,City,County,State,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition,Junction,Stop,Traffic_Signal,daytime
2,Vernon,Oneida_NY,NY,55.9,93,10,5.8,0,Partly Cloudy,FALSE,FALSE,TRUE,twilight
2,Los Angeles,Los Angeles_CA,CA,59,90,5,0,0,Clear,TRUE,FALSE,FALSE,night
3,Woodside,Queens_NY,NY,53.1,47,10,3.5,0,Partly Cloudy,FALSE,TRUE,FALSE,twilight
2,Colorado Springs,El Paso_CO,CO,90,17,10,8.1,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Austin,Travis_TX,TX,93,38,10,16.1,0,Scattered Clouds,FALSE,FALSE,TRUE,day
2,Oklahoma City,Oklahoma_OK,OK,86,53,10,9,0,Fair,FALSE,FALSE,TRUE,day
2,Orlando,Orange_FL,FL,69.1,63,10,9.2,0,Partly Cloudy,FALSE,FALSE,FALSE,twilight
3,Temecula,Riverside_CA,CA,77,19,10,3.5,0,Clear,FALSE,FALSE,FALSE,day
2,Houston,Harris_TX,TX,86,72,10,3.5,0,Clear,FALSE,FALSE,FALSE,day
2,Red Bank,Monmouth_NJ,NJ,73.9,97,4,11.5,0.01,Light Rain,FALSE,FALSE,FALSE,day
2,Shreveport,Caddo_LA,LA,79,79,10,3,0,Fair,FALSE,FALSE,FALSE,day
2,Charlotte,Mecklenburg_NC,NC,73.9,97,10,0,0,Overcast,FALSE,FALSE,FALSE,twilight
2,Simi Valley,Ventura_CA,CA,85,25,10,3,0,Fair,FALSE,FALSE,FALSE,twilight
3,Austin,Travis_TX,TX,75.9,87,10,0,0,Clear,FALSE,FALSE,FALSE,twilight
3,Baton Rouge,East Baton Rouge_LA,LA,78.1,90,10,11.5,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,Chambers,Apache_AZ,AZ,75,46,10,4.6,0,Overcast,FALSE,FALSE,FALSE,day
2,Souderton,Montgomery_PA,PA,60.8,34,10,0,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,El Monte,Los Angeles_CA,CA,84,41,10,8,0,Fair,FALSE,FALSE,FALSE,day
2,Bala Cynwyd,Montgomery_PA,PA,70,95,4,0,0,Cloudy,FALSE,FALSE,TRUE,day
2,San Diego,San Diego_CA,CA,66,60,10,8.1,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Crescent,Klamath_OR,OR,44.6,66,10,23,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Monroe,Snohomish_WA,WA,53.1,83,10,4.6,0,Overcast,FALSE,FALSE,FALSE,day
2,Rochester,Monroe_NY,NY,33.1,78,9,18.4,0,Light Snow,FALSE,FALSE,FALSE,day
3,Hallandale,Broward_FL,FL,75.9,76,10,6.9,0,Partly Cloudy,FALSE,FALSE,FALSE,twilight
2,Antelope,Sacramento_CA,CA,59,82,10,0,0,Scattered Clouds,FALSE,FALSE,FALSE,day
4,Cincinnati,Hamilton_OH,OH,62.1,90,10,0,0,Clear,FALSE,FALSE,FALSE,day
2,Halethorpe,Baltimore County_MD,MD,32,96,2,5.8,0.05,Light Freezing Rain,FALSE,FALSE,FALSE,night
3,Louisville,Jefferson_KY,KY,72,93,9,5.8,0,Clear,FALSE,FALSE,FALSE,twilight
2,Indianapolis,Marion_IN,IN,68,96,10,0,0,Overcast,FALSE,FALSE,FALSE,day
2,Detroit,Wayne_MI,MI,27,49,10,6.9,0,Overcast,TRUE,FALSE,FALSE,day
3,North Charleston,Charleston_SC,SC,89.1,59,10,5.8,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,San Francisco,San Francisco_CA,CA,61,75,10,13.8,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Los Angeles,Los Angeles_CA,CA,69.1,61,10,11.5,0,Clear,FALSE,FALSE,TRUE,day
2,Fort Mill,York_SC,SC,83,42,10,6,0,Fair,FALSE,FALSE,FALSE,day
3,Saint Paul,Dakota_MN,MN,75.9,62,10,11.5,0,Overcast,TRUE,FALSE,FALSE,day
3,Irving,Dallas_TX,TX,77,23,10,16.1,0,Scattered Clouds,TRUE,FALSE,FALSE,day
2,Piedmont,Anderson_SC,SC,66,37,10,5,0,Fair,FALSE,FALSE,FALSE,day
2,Orange,Orange_CA,CA,57,67,10,4.6,0,Scattered Clouds,FALSE,FALSE,FALSE,twilight
3,Dallas,Dallas_TX,TX,91.9,38,10,6.9,0,Partly Cloudy,FALSE,FALSE,FALSE,day
4,Julian,San Diego_CA,CA,46,96,10,6.9,0,Light Rain,FALSE,FALSE,FALSE,twilight
3,Mountlake Terrace,Snohomish_WA,WA,51,89,10,0,0,Cloudy,FALSE,FALSE,FALSE,twilight
2,Echo,Umatilla_OR,OR,58,49,10,22,0,Cloudy / Windy,FALSE,FALSE,FALSE,day
3,Los Angeles,Los Angeles_CA,CA,54,64,10,3.5,0,Clear,FALSE,FALSE,FALSE,day
3,Pomona,Los Angeles_CA,CA,71.6,50,10,9.2,0,Clear,FALSE,FALSE,FALSE,day
2,Austin,Travis_TX,TX,87.1,65,10,6.9,0,Clear,FALSE,FALSE,TRUE,night
2,Greenville,Greenville_SC,SC,36,89,2.5,0,0,Partly Cloudy,FALSE,FALSE,TRUE,twilight
2,Lexington,Lexington_SC,SC,51.1,50,10,0,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Rochester,Monroe_NY,NY,46,86,10,9.2,0,Light Drizzle,FALSE,FALSE,FALSE,day
2,Austin,Travis_TX,TX,57,45,10,0,0,Clear,FALSE,FALSE,FALSE,night
2,Pittsburgh,Allegheny_PA,PA,72,73,10,5,0,Fair,FALSE,FALSE,TRUE,day
2,Lebanon,Lebanon_PA,PA,69.8,94,3,0,0,Overcast,FALSE,FALSE,FALSE,day
3,San Diego,San Diego_CA,CA,78.1,68,10,5.8,0,Clear,FALSE,FALSE,FALSE,twilight
3,Duncan,Spartanburg_SC,SC,46,83,10,0,0,Clear,FALSE,FALSE,FALSE,twilight
3,Ellicott City,Howard_MD,MD,30.9,96,4,9.2,0.01,Light Ice Pellets,FALSE,FALSE,FALSE,day
2,Madison,Dane_WI,WI,27,85,4,12.7,0,Light Snow,FALSE,FALSE,FALSE,day
2,Austin,Travis_TX,TX,83,51,10,7,0,Fair,FALSE,FALSE,FALSE,twilight
2,Lawrenceville,Gwinnett_GA,GA,66,100,10,3,0,Cloudy,FALSE,FALSE,TRUE,day
2,Big Bear City,San Bernardino_CA,CA,53.6,16,10,4.6,0,Clear,FALSE,FALSE,FALSE,day
2,Covina,Los Angeles_CA,CA,71.6,31,10,3.5,0,Clear,FALSE,FALSE,TRUE,day
2,East Orange,Essex_NJ,NJ,53.1,64,10,6.9,0,Overcast,FALSE,FALSE,FALSE,twilight
2,Decatur,DeKalb_GA,GA,87,35,10,16,0,Partly Cloudy,FALSE,FALSE,FALSE,day
3,Castle Rock,Douglas_CO,CO,30,47,10,8,0,Fair,FALSE,FALSE,FALSE,day
2,King of Prussia,Montgomery_PA,PA,48.2,93,7,0,0,Overcast,FALSE,FALSE,FALSE,day
2,Oakhurst,Madera_CA,CA,53.1,86,10,0,0,Clear,FALSE,FALSE,FALSE,day
3,Raleigh,Wake_NC,NC,86,59,10,9.2,0,Scattered Clouds,TRUE,FALSE,FALSE,day
2,Tucson,Pima_AZ,AZ,73.9,30,10,4.6,0,Clear,FALSE,FALSE,FALSE,day
2,Dallas,Dallas_TX,TX,33.8,70,10,10.4,0,Clear,FALSE,FALSE,FALSE,day
4,Sparks Glencoe,Baltimore County_MD,MD,75.2,34,10,6.9,0,Clear,FALSE,FALSE,FALSE,day
2,Bakersfield,Kern_CA,CA,83,28,10,0,0,Partly Cloudy,FALSE,FALSE,FALSE,twilight
2,Newberry Springs,San Bernardino_CA,CA,80.1,20,10,13.8,0,Clear,FALSE,FALSE,FALSE,day
2,Pittsburgh,Allegheny_PA,PA,24.1,75,1.5,8.1,0,Light Snow,FALSE,TRUE,FALSE,twilight
2,North Little Rock,Pulaski_AR,AR,29,82,10,3,0,Fair,FALSE,FALSE,FALSE,night
